message_id,message_text,message_user_id,channel_id,ts
M001,プロジェクトが無事完了しました！皆様お疲れ様でした,U001,C001,1709336204.828603
M002,バグの修正が完了しましたのでレビューお願いします,U002,C002,1725814779.983474
M003,新機能の開発に着手しました。来週中には完了予定です,U003,C002,1677628418.352695
M004,明日の会議は13時からに変更となります,U001,C001,1683093434.014212
M005,テストの実行結果を共有します。すべてパスしました！,U002,C002,1716770515.167533
M006,休憩しましょう！お昼ご飯どこに行きますか？,U004,C003,1698344135.090599
M007,新しいチームメンバーの田中さんです。よろしくお願いします！,U005,C001,1729125326.008524
M008,デプロイが完了しました。動作確認お願いします,U001,C002,1714410223.474168
M009,みなさん、良い週末を！来週も頑張りましょう,U003,C001,1694670738.597724
M010,クライアントからフィードバックが届きました。とても良い評価でした,U002,C001,1727676336.215939
